"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geodata_center";"geoarea";
"5726";"«Ставропольская ул.», Люблинская улица (5726)";"37.7385075";"55.68060863";"Люблинская улица";"Южный административный округ";"район Нагатино-Садовники";"А623; А30; А54; АС4; А350; А528; А650; АТ50; АЭ-35";"Ставропольская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889090332";"0101000000E42CEC6987DE4240D99CFF2E1ED74B40";"";
"5728";"«Детская п-ка», улица Полбина (5728)";"37.72794763";"55.67766033";"улица Полбина";"Юго-Восточный административный округ";"район Печатники";"А646; А30; А524";"Детская п-ка";"";"да";"ГУП «Мосгортранс»";"активна";"889090334";"01010000007E0650632DDD4240C392DD92BDD64B40";"";
"5729";"«Ул. Полбина, 54», улица Полбина (5729)";"37.72654038";"55.67572741";"улица Полбина";"Юго-Восточный административный округ";"район Печатники";"А646; А30; А524";"Ул. Полбина, 54";"";"да";"ГУП «Мосгортранс»";"активна";"889090336";"010100000066A97146FFDC4240FB7A5B3C7ED64B40";"";
"5730";"«Ст. МЦД Депо», улица Полбина (5730)";"37.72516765";"55.67331318";"улица Полбина";"Юго-Восточный административный округ";"район Печатники";"А646; А30; А524";"Ст. МЦД Депо";"";"да";"ГУП «Мосгортранс»";"активна";"889090337";"0101000000006F264BD2DC42406B0854202FD64B40";"";
"5731";"«Школа № 918», улица Полбина (5731)";"37.72343219";"55.67031757";"улица Полбина";"Юго-Западный административный округ";"район Ясенево";"А646; А30; А524";"Школа № 918";"";"да";"ГУП «Мосгортранс»";"активна";"889090338";"01010000003A760E6D99DC4240C78A54F7CCD54B40";"";
"5732";"«Технологический колледж», Шоссейная улица (5732)";"37.7203204";"55.66696018";"Шоссейная улица";"Юго-Восточный административный округ";"район Печатники";"А292; А161; А703; А30; А736; А438";"Технологический колледж";"";"да";"ГУП «Мосгортранс»";"активна";"889090340";"01010000002152787533DC4240C96A80F35ED54B40";"";
"5733";"«Николо-Перервинский монастырь», Шоссейная улица (5733)";"37.72052434";"55.67017157";"Шоссейная улица";"Юго-Восточный административный округ";"район Печатники";"А292; А161; А703; А30; А736; А438";"Николо-Перервинский монастырь";"";"да";"ГУП «Мосгортранс»";"активна";"889090341";"0101000000D0223E243ADC4240F3ED972EC8D54B40";"";
"5734";"«Шоссейная ул., 51», Шоссейная улица (5734)";"37.7231029";"55.67396031";"Шоссейная улица";"Юго-Восточный административный округ";"район Печатники";"А292; А161; А703; А30; А736; А438";"Шоссейная ул., 51";"";"да";"ГУП «Мосгортранс»";"активна";"889090342";"01010000004692C5A28EDC42404220D95444D64B40";"";
"5735";"«Поликлиника», Шоссейная улица (5735)";"37.72358082";"55.67777392";"Шоссейная улица";"Юго-Восточный административный округ";"район Печатники";"А292; А161; А703; А30; А736; А438";"Поликлиника";"";"да";"ГУП «Мосгортранс»";"активна";"889090344";"0101000000D9F4DA4B9EDC4240A93DBA4BC1D64B40";"";
"5736";"«Продмаг», Шоссейная улица (5736)";"37.72438354";"55.68233882";"Шоссейная улица";"Юго-Восточный административный округ";"район Печатники";"А292; А161; А703; А30; А736; А438";"Продмаг";"";"да";"ГУП «Мосгортранс»";"активна";"889090345";"0101000000C5078F99B8DC42407A58E2E056D74B40";"";
